school id,Avg Score Math,Avg Score Reading,Avg Score Writing,Tested Percent,Latitude,Longitude,Borough,Street Address,School Name,Major N,Orth N,NoCrim N,Prop N,Vio N,total_crime,school_id,enrolled_2015_2018,present_2015_2018,absent_2015_2018,attendance_prc
01M448,437,355,352,69.9%,40.71233,-73.9848,Manhattan,200 Monroe Street,University Neighborhood High School,0,3,5,0,1,9,01M448,393,360,32,91.68
01M450,454,428,445,85.2%,40.72978,-73.98304,Manhattan,420 East 12th Street,East Side Community School,0,4,1,1,1,7,01M450,679,642,32,94.57
01M539,657,601,601,91.0%,40.71873,-73.97943,Manhattan,111 Columbia Street,"New Explorations into Science, Technology and Math High School",0,3,2,3,0,8,01M539,1738,1613,69,92.82
01M696,634,641,639,70.8%,40.71896,-73.97607,Manhattan,525 East Houston Street,Bard High School Early College,0,0,1,0,0,1,01M696,556,526,30,94.53
02M411,592,526,531,94.3%,40.74405,-73.99148,Manhattan,55 East 25th Street,Baruch College Campus High School,0,0,1,0,0,1,02M411,449,430,16,95.8
02M413,534,533,522,89.9%,40.73895,-73.98541,Manhattan,127 East 22nd Street,School of the Future High School,1,2,1,3,0,7,02M413,747,706,37,94.49
02M416,641,617,631,86.0%,40.77012,-73.95338,Manhattan,411 East 76th Street,Eleanor Roosevelt High School,0,1,2,0,1,4,02M416,545,524,21,96.09
02M418,577,560,567,94.0%,40.70492,-74.01151,Manhattan,75 Broad Street,Millennium High School,0,0,0,0,0,0,02M418,653,627,25,96.05
02M425,390,396,392,54.9%,40.70915,-74.01208,Manhattan,90 Trinity Place,Leadership and Public Service High School,0,4,9,1,2,16,02M425,577,474,103,82.08
02M439,522,479,510,98.8%,40.74149,-73.99145,Manhattan,43 West 22nd Street,Manhattan Village Academy,0,0,0,0,0,0,02M439,443,432,9,97.58
02M475,754,697,693,97.4%,40.71775,-74.01405,Manhattan,345 Chambers Street,Stuyvesant High School,0,2,4,1,0,7,02M475,3337,3227,109,96.72
02M489,469,442,447,66.8%,40.70922,-74.01203,Manhattan,100 Trinity Place,High School of Economics and Finance,1,5,1,4,1,12,02M489,741,661,76,89.27
02M529,418,422,415,53.8%,40.75776,-73.98319,Manhattan,120 West 46th Street,Jacqueline Kennedy Onassis High School,2,7,19,4,3,35,02M529,601,478,121,79.56
02M531,425,451,458,89.5%,40.75594,-73.98457,Manhattan,123 West 43rd Street,Repertory Company High School for Theatre Arts,0,0,0,0,0,0,02M531,244,224,20,91.88
02M551,446,453,428,78.8%,40.69079,-74.01976,Manhattan,550 Wheeler Avenue,Urban Assembly New York Harbor School,0,0,3,0,0,3,02M551,459,408,48,88.97
02M600,433,442,427,80.6%,40.74511,-73.99591,Manhattan,225 West 24th Street,High School of Fashion Industries,2,8,17,7,3,37,02M600,1667,1514,152,90.83
02M655,435,440,425,63.0%,40.78364,-73.94574,Manhattan,320 East 96th Street,Life Sciences Secondary School,2,5,17,4,3,31,02M655,586,438,107,74.8
03M479,583,586,595,82.8%,40.77216,-73.9878,Manhattan,227-243 West 61st Street,Beacon High School,0,0,0,0,0,0,03M479,1323,1274,48,96.3
03M485,592,592,597,88.5%,40.77367,-73.98527,Manhattan,100 Amsterdam Avenue,Fiorello H. LaGuardia High School of Music and Art and Performing Arts,0,4,2,2,0,8,03M485,2727,2591,134,95.03
04M495,429,433,435,89.6%,40.79056,-73.94445,Manhattan,230 East 105th Street,Park East High School,0,1,2,0,1,4,04M495,405,378,28,93.17
04M610,478,465,472,100.0%,40.79271,-73.9473,Manhattan,105 East 106th Street,Young Women's Leadership School,0,1,0,1,0,2,04M610,484,432,28,89.23
04M680,385,380,370,56.8%,40.79188,-73.94659,Manhattan,1680 Lexington Avenue,Heritage School,0,0,2,0,0,2,04M680,306,262,43,85.76
05M499,463,452,450,65.1%,40.82431,-73.93698,Manhattan,2581 7th Avenue,Frederick Douglass Academy,1,5,10,2,3,21,05M499,1369,1138,138,83.13
