school id,Enrollment,White,Black,Hispanic,Asian
01M539,1735,28.6%,13.3%,18.0%,38.5%
02M294,358,11.7%,38.5%,41.3%,5.9%
02M308,383,3.1%,28.2%,56.9%,8.6%
02M545,416,1.7%,3.1%,5.5%,88.9%
01M292,255,3.9%,24.4%,56.6%,13.2%
01M696,545,45.3%,17.2%,18.7%,17.1%
02M305,329,2.7%,41.9%,49.2%,5.8%
01M509,363,2.5%,39.9%,51.2%,5.8%
01M448,304,3.3%,25.0%,41.1%,29.9%
02M543,441,3.9%,30.8%,56.9%,5.9%
02M298,423,1.9%,28.1%,45.4%,13.7%
02M420,1664,7.3%,18.9%,50.9%,22.4%
02M399,437,5.7%,20.4%,40.3%,31.1%
02M438,353,9.9%,14.2%,45.3%,30.6%
02M407,482,56.5%,14.1%,14.9%,5.8%
02M374,530,5.8%,42.5%,44.2%,3.6%
02M551,447,18.8%,23.7%,51.7%,2.9%
02M580,566,2.7%,31.1%,58.8%,6.2%
02M418,659,32.8%,7.6%,18.2%,38.4%
02M316,405,2.2%,52.8%,39.3%,3.5%
02M489,796,7.2%,22.9%,47.1%,21.7%
02M425,699,4.4%,27.9%,61.9%,3.9%
01M450,666,8.3%,22.1%,57.9%,9.4%
02M411,451,22.8%,6.2%,14.9%,54.8%
02M413,713,35.9%,11.7%,30.4%,14.4%
02M439,415,7.2%,9.6%,67.2%,7.2%
02M412,587,46.0%,6.0%,15.5%,27.6%
02M437,483,3.3%,29.2%,59.4%,6.4%
02M392,438,3.9%,28.1%,62.1%,3.4%
02M419,355,1.7%,24.2%,68.5%,3.7%
02M600,1770,3.8%,36.3%,53.8%,5.0%
02M414,471,12.1%,12.7%,39.7%,34.2%
02M615,439,3.2%,28.9%,57.4%,8.2%
02M376,442,28.7%,19.9%,39.8%,8.6%
02M427,334,1.5%,4.8%,91.3%,2.4%
02M500,284,4.9%,27.5%,58.8%,6.0%
02M393,449,1.6%,35.4%,59.5%,2.2%
02M303,406,2.2%,27.3%,67.5%,1.7%
02M296,424,1.7%,21.0%,71.2%,5.0%
02M300,414,3.4%,29.5%,59.2%,6.0%
02M400,1301,6.6%,14.7%,62.9%,15.1%
02M630,1476,10.8%,24.1%,54.7%,8.5%
02M542,529,0.0%,0.0%,100.0%,0.0%
02M507,472,5.7%,30.3%,53.8%,7.8%
02M288,427,3.0%,39.6%,52.2%,4.7%
02M416,541,61.4%,4.4%,10.9%,20.1%
03M299,447,0.9%,38.5%,58.8%,0.4%
03M307,412,1.7%,36.4%,57.8%,1.9%
03M479,1285,51.8%,13.7%,23.8%,8.9%
03M485,2635,45.3%,11.3%,19.4%,19.4%
03M494,594,2.9%,32.5%,59.3%,3.9%
03M541,451,13.1%,16.4%,37.9%,25.9%
03M492,510,2.2%,42.0%,52.7%,2.4%
03M402,353,2.8%,23.2%,72.0%,1.1%
03M417,387,31.8%,15.8%,40.1%,8.8%
03M403,496,5.4%,25.0%,66.3%,2.4%
03M415,445,1.0%,52.0%,44.2%,1.8%
03M860,411,1.9%,67.8%,26.3%,2.2%
05M362,659,14.8%,22.0%,48.1%,13.7%
05M367,234,2.8%,46.5%,49.3%,0.5%
05M369,358,1.4%,52.2%,43.0%,0.8%
04M680,322,1.9%,32.3%,63.7%,1.2%
04M555,466,3.9%,24.5%,63.3%,7.3%
04M495,413,1.7%,27.6%,63.7%,4.8%
04M610,480,3.4%,27.9%,57.4%,8.9%
04M435,1603,4.2%,20.9%,54.1%,19.2%
05M304,428,0.7%,38.3%,59.1%,0.9%
05M670,561,0.8%,77.6%,19.6%,1.3%
05M692,470,26.8%,9.6%,21.7%,38.5%
06M540,1354,1.7%,32.0%,59.7%,4.9%
06M552,504,0.0%,0.0%,100.0%,0.0%
06M346,629,2.7%,4.9%,91.8%,0.0%
06M348,705,0.5%,3.8%,94.8%,0.3%
04M409,283,3.5%,41.0%,50.2%,4.2%
02M531,246,8.5%,37.4%,50.4%,1.6%
02M408,536,42.9%,26.2%,22.3%,2.5%
02M529,676,3.6%,21.3%,70.1%,4.0%
02M520,971,3.0%,46.1%,40.7%,8.9%
05M499,1428,1.4%,70.4%,23.2%,1.7%
06M463,479,1.3%,13.8%,82.5%,1.9%
